Afghanistan	59.7	12.4	20.2	29726803
Albania	77.3	34.4	36.8	2900489
Algeria	74.3	30.5	33.3	37439427
Argentina	75.9	40.2	35.2	42095224
Armenia	74.4	24.0	25.7	2978339
Australia	82.1	53.1	21.2	22728254
Austria	81.0	54.4	30.5	8429991
Bangladesh	70.8	23.3	38.4	155257387
Belarus	70.9	34.0	21.7	9464000
Belgium	80.4	49.5	23.7	11128246
Belize	69.8	34.2	33.8	336707
Benin	59.2	9.9	13.4	10049792
Bhutan	68.7	27.4	28.6	743711
Bolivia	67.5	25.6	23.3	10238762
Bosniaand Herzegovina	76.2	28.6	25.3	3828419
Botswana	64.2	21.3	16.6	2132822
Brazil	73.9	39.0	34.3	202401584
Bulgaria	73.9	24.0	20.4	7305888
Burkina Faso	58.0	12.6	17.9	16590813
Burundi	55.8	9.5	15.6	10124572
Cambodia	67.5	18.2	25.6	14832255
Cameroon	54.6	11.6	16.7	21659488
Canada	81.7	53.9	23.9	34751476
Chad	50.8	9.6	12.8	12715465
Chile	81.1	44.7	31.7	17388437
China	75.4	30.6	25.7	1350695000
Colombia	73.7	35.1	40.7	46881018
Comoros	62.6	15.4	23.1	733661
CostaRica	79.1	48.2	44.7	4654148
Coted'Ivoire	50.8	10.3	14.4	21102641
Croatia	77.0	39.6	30.2	4267558
Cyprus	79.8	42.3	30.7	1129303
Czech Republic	78.2	43.4	27.3	10510785
Denmark	79.8	54.4	32.7	5591572
Djibouti	61.3	15.1	16.4	853069
Dominican Republic	73.1	23.7	30.3	10155036
Ecuador	75.4	34.3	37.0	15419493
Egypt	70.7	21.8	23.8	85660902
El Salvador	72.5	32.2	35.6	6072233
Estonia	76.2	35.0	17.9	1322696
Ethiopia	62.8	17.8	26.7	92191211
Finland	80.4	54.6	31.3	5413971
France	81.8	48.1	30.4	65639975
Gabon	63.3	15.4	17.5	1613489
Georgia	74.6	24.7	31.1	3825000
Germany	80.6	48.2	29.8	80425823
Ghana	61.0	18.8	21.4	25544565
Greece	80.5	33.3	23.6	11045011
Guatemala	71.4	29.6	34.2	15368759
Guinea	57.7	11.8	15.9	11628767
Haiti	62.1	16.5	28.6	10288828
Honduras	72.8	22.1	27.2	7736131
Hong Kong	83.6	40.1	16.8	7154600
Hungary	74.9	28.7	26.4	9920362
Iceland	82.2	58.0	31.1	320716
India	67.3	20.4	29.2	1263589639
Indonesia	68.5	28.4	35.7	248037853
Iran	74.8	25.4	24.0	76156975
Iraq	69.0	22.8	26.5	32780975
Ireland	80.5	50.3	30.0	4586897
Israel	81.9	52.5	28.8	7910500
Italy	82.7	41.1	28.1	59539717
Jamaica	75.3	31.9	36.9	2707805
Japan	83.2	44.0	28.3	127561489
Kazakhstan	68.6	31.7	19.1	16791425
Kenya	60.3	16.2	24.2	42542978
Kyrgyzstan	69.7	28.7	33.1	5607200
Latvia	73.6	31.2	17.1	2034319
Lebanon	78.8	28.2	21.9	4440728
Lesotho	48.9	13.4	16.7	2057331
Liberia	60.2	15.7	22.2	4190155
Lithuania	72.8	36.4	21.0	2987773
Luxembourg	81.1	51.7	13.2	530946
Macedonia	75.1	27.2	23.4	2069270
Malawi	60.1	13.7	22.1	15700436
Malaysia	74.4	38.3	30.3	29021940
Malta	80.2	40.8	29.0	419455
Mauritania	62.6	18.0	18.0	3777067
Mauritius	74.0	33.1	27.4	1255882
Mexico	76.4	44.3	40.7	122070963
Mongolia	68.6	25.3	14.3	2808339
Montenegro	75.8	32.1	25.1	620601
Morocco	73.4	26.7	32.7	32984190
Mozambique	54.3	15.0	23.7	25732928
Myanmar	65.5	18.8	24.7	52543841
Namibia	64.0	21.3	21.6	2291645
Nepal	68.8	20.2	30.5	27500515
Netherlands	81.2	57.0	35.3	16754962
New Zealand	81.4	52.7	31.3	4408100
Nicaragua	74.3	29.2	38.7	5877034
Niger	60.0	13.1	16.8	17635782
Nigeria	52.1	15.5	22.2	168240403
Norway	81.3	57.1	36.8	5018573
Oman	76.3	44.5	21.1	3545192
Pakistan	65.7	19.5	31.5	177392252
Palestine	72.6	24.5	34.5	4046901
Panama	77.2	42.1	39.5	3743761
Paraguay	72.6	31.8	23.3	6379162
Peru	74.1	32.9	34.6	30158768
Philippines	67.9	24.1	35.0	96017322
Poland	76.9	39.2	27.5	38063164
Portugal	80.3	32.3	24.8	10514844
Republic of Congo	61.0	13.6	18.8	4286188
Romania	74.3	30.1	28.8	20058035
Russia	69.5	31.7	18.7	143201676
Rwanda	63.1	12.4	19.6	10817350
Senegal	65.4	15.5	21.9	13780108
Serbia	74.5	30.3	29.0	7199077
Sierra Leone	49.8	10.8	15.3	6043157
Slovakia	75.9	37.9	28.2	5407579
Slovenia	80.0	42.6	24.6	2057159
South Africa	56.3	18.5	15.9	52341695
South Korea	81.3	42.2	24.8	50004441
Spain	82.2	45.3	36.0	46773055
SriLanka	74.6	24.9	33.8	20424000
Suriname	70.8	35.2	25.4	528535
Swaziland	48.9	13.6	15.5	1231694
Sweden	81.8	57.4	28.0	9519374
Switzerland	82.6	59.3	34.3	7996861
Syria	70.4	14.7	19.1	21427155
Tajikistan	69.0	22.2	34.2	7930929
Tanzania	63.5	16.2	22.1	48645709
Thailand	74.1	38.6	37.3	67164130
Togo	58.6	9.0	13.2	6745581
Trinidad and Tobago	70.1	34.4	15.7	1341579
Tunisia	74.6	25.2	26.2	10777500
Turkey	74.7	31.2	26.4	74099255
Turkmenistan	65.3	24.0	14.6	5172941
Uganda	57.1	13.8	19.4	35400620
Ukraine	70.3	28.3	26.4	45593300
United Kingdom	80.4	49.1	31.9	63700300
United States of America	78.8	46.8	20.7	314112078
Uruguay	76.9	39.4	36.1	3396753
Uzbekistan	68.2	27.9	29.1	29774500
Vanuatu	71.3	34.9	40.6	247498
Venezuela	73.9	41.5	33.6	29854238
Vietnam	75.5	32.8	40.3	88809200
Yemen	63.3	15.2	22.8	24882792
Zambia	58.4	16.7	25.2	14786581
Zimbabwe	53.7	16.4	22.1	14565482
